Spotify Premium,Spotify Free,YouTube Free,YouTube Premium,Apple Music,Amazon Music,Others,PE1,PE2,PE3,PE4,PE5,EE1,EE2,EE3,PV1,PV2,PV3,PF1,PF2,PF3,SM1,SM2,SL1,SL2,PG1,PG2,PG3,VM1,VM2,VM3,FT1,FT2,FT3,MH1,MH2,MH3,MH4,MH5,Room_for_enhancement,Age,Gender,Employment status,Household_income
Never or Almost Never,Very Frequently,Occasionally,Never or Almost Never,Never or Almost Never,Never or Almost Never,Never or Almost Never,Agree,Neither agree nor disagree,Agree,Somewhat agree,Agree,Agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Agree,Somewhat agree,Strongly agree,Agree,Agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,4D audio,25 - 34,Male,Employed part time,"£20,000 or Less"
Never or Almost Never,Occasionally,Occasionally,Never or Almost Never,Very Frequently,Never or Almost Never,Never or Almost Never,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Agree,Agree,Somewhat agree,Agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Strongly agree,Disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Disagree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Somewhat agree,I'm loving it as it is,25 - 34,Female,Student & employed,"£20,000 or Less"
Frequently,Frequently,Frequently,Occasionally,Occasionally,Regularly,Never or Almost Never,Strongly agree,Agree,Neither agree nor disagree,Somewhat agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Disagree,Somewhat agree,"Music is an art and it's better to value and preserve its originality. So, if listeners can write reviews about the music produced and let the creators know if they go wrong with it, then it will be great.",25 - 34,Male,Student not employed,"£20,000 or Less"
Never or Almost Never,Occasionally,Never or Almost Never,Very Frequently,Never or Almost Never,Occasionally,Never or Almost Never,Strongly agree,Agree,Strongly agree,Somewhat agree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Somewhat agree,Disagree,Agree,Somewhat disagree,Disagree,Disagree,Somewhat agree,Somewhat disagree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Somewhat agree,,,,,
Never or Almost Never,Occasionally,Very Frequently,Never or Almost Never,Never or Almost Never,Never or Almost Never,Very Frequently,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Strongly disagree,Agree,Somewhat agree,Agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,,18 - 24,Male,Student not employed,
Never or Almost Never,Very Frequently,Very Frequently,Never or Almost Never,Never or Almost Never,Frequently,Frequently,Agree,Agree,Strongly agree,Neither agree nor disagree,Agree,Strongly agree,Agree,Agree,Disagree,Disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Agree,Disagree,Somewhat disagree,Agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Agree,Somewhat agree,Strongly disagree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,18 - 24,Female,Student not employed,
Very Frequently,Very Frequently,Very Frequently,Never or Almost Never,Occasionally,Occasionally,Frequently,Agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Agree,Somewhat agree,Agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Somewhat agree,"Better song suggestions, ability to share the playlist with other music streaming services as well  ( for Apple )",18 - 24,Female,Student & employed,"£40,001 - £60,000"
Occasionally,Very Frequently,Never or Almost Never,Never or Almost Never,Never or Almost Never,Never or Almost Never,Never or Almost Never,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Agree,Disagree,Agree,Agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,25 - 34,Male,Student not employed,
Never or Almost Never,Never or Almost Never,Very Frequently,Never or Almost Never,Never or Almost Never,Very Frequently,Never or Almost Never,Strongly agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Agree,Agree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,,18 - 24,Female,Student not employed,
Never or Almost Never,Very Frequently,Very Frequently,Never or Almost Never,Never or Almost Never,Never or Almost Never,Very Frequently,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly agree,Disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Somewhat agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Somewhat disagree,Somewhat agree,,25 - 34,Male,Employed Full Time,"£20,000 or Less"
Occasionally,Regularly,Very Frequently,Never or Almost Never,Never or Almost Never,Never or Almost Never,Never or Almost Never,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,25 - 34,Male,Employed Full Time,
Never or Almost Never,Never or Almost Never,Never or Almost Never,Very Frequently,Never or Almost Never,Never or Almost Never,Never or Almost Never,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Free for all ,18 - 24,Male,Student not employed,
Frequently,Frequently,Frequently,Occasionally,Never or Almost Never,Frequently,Never or Almost Never,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat agree,Disagree,Disagree,Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Strongly agree,,25 - 34,Male,Employed part time,"£20,000 or Less"
Never or Almost Never,Very Frequently,Very Frequently,Never or Almost Never,Occasionally,Never or Almost Never,Never or Almost Never,Strongly agree,Agree,Agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Agree,Strongly agree,Somewhat disagree,Strongly agree,Agree,Somewhat agree,Somewhat agree,Strongly agree,Agree,Agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,,18 - 24,Female,Student not employed,
Occasionally,Very Frequently,Never or Almost Never,Never or Almost Never,Very Frequently,Never or Almost Never,Never or Almost Never,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Somewhat disagree,Strongly disagree,Disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,,18 - 24,Male,Student not employed,
Never or Almost Never,Never or Almost Never,Very Frequently,Never or Almost Never,Never or Almost Never,Never or Almost Never,Never or Almost Never,Somewhat agree,Agree,Somewhat agree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Agree,Somewhat agree,Somewhat agree,Agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Agree,Somewhat disagree,,18 - 24,Male,Employed Full Time,
Very Frequently,Occasionally,Regularly,Never or Almost Never,Never or Almost Never,Occasionally,Never or Almost Never,Neither agree nor disagree,Somewhat agree,Agree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Somewhat disagree,Somewhat agree,Disagree,Somewhat agree,Agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Strongly agree,Agree,Agree,Agree,Neither agree nor disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,"Ability to control from multiple devices simultaneously. 
Ability to play in multiple devices simultaneously. ",25 - 34,Male,Employed Full Time,
Regularly,Regularly,Very Frequently,Never or Almost Never,Never or Almost Never,Never or Almost Never,Never or Almost Never,Somewhat agree,Agree,Somewhat agree,Neither agree nor disagree,Agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Somewhat agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Somewhat agree,Neither agree nor disagree,"Yes, by reducing the cost",25 - 34,Male,Student & employed,"£20,000 or Less"
Never or Almost Never,Very Frequently,Regularly,Never or Almost Never,Occasionally,Occasionally,Never or Almost Never,Strongly agree,Agree,Agree,Somewhat agree,Agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Agree,Strongly agree,Agree,Somewhat agree,Agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Could prioritise audiobooks ,18 - 24,Female,Employed part time,
Frequently,Never or Almost Never,Never or Almost Never,Very Frequently,Never or Almost Never,Never or Almost Never,Never or Almost Never,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Somewhat agree,Agree,Agree,Somewhat agree,Strongly disagree,Disagree,Somewhat disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Agree,Somewhat agree,Somewhat disagree,Disagree,Somewhat agree,Agree,Agree,Agree,Agree,Agree,Disagree,Strongly agree,,,,,
Never or Almost Never,Occasionally,Very Frequently,Never or Almost Never,Very Frequently,Never or Almost Never,Very Frequently,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Agree,Agree,Somewhat agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,,
Very Frequently,Never or Almost Never,Never or Almost Never,Never or Almost Never,Never or Almost Never,Never or Almost Never,Never or Almost Never,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Disagree,Somewhat disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,They could reduce cost,18 - 24,Male,Student not employed,"£20,000 or Less"
Very Frequently,Occasionally,Regularly,Frequently,Never or Almost Never,Never or Almost Never,Never or Almost Never,Agree,Neither agree nor disagree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Somewhat agree,Agree,Agree,Somewhat agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,,25 - 34,Female,Student not employed,"£20,000 or Less"
Never or Almost Never,Never or Almost Never,Very Frequently,Very Frequently,Never or Almost Never,Never or Almost Never,Never or Almost Never,Neither agree nor disagree,Somewhat agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Agree,Somewhat agree,Agree,Neither agree nor disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,I think there can be a better playlist suggestion sometimes and I would like to listen to new artists suggestions more frequently ,25 - 34,Female,Student not employed,"£20,000 or Less"
Very Frequently,Never or Almost Never,Never or Almost Never,Very Frequently,Never or Almost Never,Never or Almost Never,Regularly,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat disagree,Strongly disagree,Agree,Agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Proving a list of Similar or related songs of the current music that is being played ,18 - 24,Female,Student not employed,
Never or Almost Never,Regularly,Very Frequently,Never or Almost Never,Frequently,Never or Almost Never,Never or Almost Never,Somewhat agree,Strongly agree,Somewhat agree,Agree,Agree,Disagree,Disagree,Disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Somewhat agree,Agree,Agree,Somewhat agree,Disagree,Somewhat agree,Disagree,Agree,Somewhat agree,Disagree,Agree,Agree,Agree,Agree,Agree,,18 - 24,Male,Student not employed,
Never or Almost Never,Never or Almost Never,Very Frequently,Very Frequently,Never or Almost Never,Never or Almost Never,Never or Almost Never,Strongly agree,Agree,Somewhat agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Somewhat agree,Agree,Somewhat agree,Strongly disagree,Strongly disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly disagree,Strongly agree,Agree,Strongly agree,ssfgs,,,,
Never or Almost Never,Very Frequently,Very Frequently,Never or Almost Never,Never or Almost Never,Never or Almost Never,Never or Almost Never,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Agree,Agree,Somewhat agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Somewhat agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,25 - 34,Male,Employed Full Time,"£20,001 - £40,000"
Occasionally,Very Frequently,Very Frequently,Never or Almost Never,Never or Almost Never,Never or Almost Never,Never or Almost Never,Somewhat disagree,Somewhat disagree,Disagree,Agree,Neither agree nor disagree,Somewhat agree,Agree,Agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Agree,Agree,Neither agree nor disagree,Agree,Disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Disagree,Agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,,18 - 24,Female,Student not employed,
Regularly,Frequently,Very Frequently,Occasionally,Occasionally,Regularly,Occasionally,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,,25 - 34,Male,Employed Full Time,"£20,001 - £40,000"
Never or Almost Never,Regularly,Very Frequently,Frequently,Occasionally,Occasionally,Frequently,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Agree,Somewhat agree,Somewhat agree,Agree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,25 - 34,Male,Student & employed,"£20,001 - £40,000"
Never or Almost Never,Very Frequently,Very Frequently,Occasionally,Never or Almost Never,Never or Almost Never,Never or Almost Never,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Somewhat disagree,Agree,Somewhat agree,Agree,Disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Somewhat agree,Agree,,18 - 24,Male,Employed Full Time,"£20,001 - £40,000"
Never or Almost Never,Very Frequently,Occasionally,Never or Almost Never,Never or Almost Never,Occasionally,Never or Almost Never,Agree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Agree,Agree,Somewhat agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,I think this is very difficult as the market is so solid in this area already. I think music streaming services such as spotify need to be more open to the idea of independent creators that need a platform to get their music out there. Its one reason I sometimes use soundcloud a they are more willing to upload things from indi creators and djs,25 - 34,Male,Employed Full Time,"£60,001 - £80,000"
Never or Almost Never,Very Frequently,Very Frequently,Never or Almost Never,Frequently,Very Frequently,Never or Almost Never,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Agree,Strongly agree,Agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,25 - 34,Male,Employed Full Time,"£20,000 or Less"
Never or Almost Never,Occasionally,Very Frequently,Never or Almost Never,Never or Almost Never,Frequently,Very Frequently,Agree,Strongly agree,Somewhat agree,Agree,Agree,Agree,Agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Agree,Somewhat agree,Agree,Somewhat agree,Agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Somewhat disagree,,25 - 34,Male,Employed Full Time,"£20,000 or Less"
Occasionally,Frequently,Frequently,Occasionally,Never or Almost Never,Occasionally,Regularly,Agree,Agree,Agree,Somewhat agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Somewhat agree,Agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree,Strongly agree,Agree,Agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Somewhat agree,Agree,There is no specific way to improve my music level of listening. I love to listen my music by preferable mood.,25 - 34,Female,Unemployed or Retired,"£20,000 or Less"
Never or Almost Never,Frequently,Frequently,Never or Almost Never,Occasionally,Never or Almost Never,Never or Almost Never,Strongly agree,Strongly agree,Somewhat agree,Agree,Strongly agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Agree,Neither agree nor disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Somewhat agree,Agree,Somewhat agree,Agree,Strongly agree,Agree,Agree,Somewhat agree,Somewhat agree,Agree,Strongly agree,Somewhat disagree,Somewhat disagree,,25 - 34,Female,Student not employed,"£20,000 or Less"
Occasionally,Regularly,Occasionally,Very Frequently,Occasionally,Never or Almost Never,Never or Almost Never,Disagree,Somewhat disagree,Disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Agree,Strongly agree,Somewhat agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,,18 - 24,Female,Employed Full Time,"£20,000 or Less"
Never or Almost Never,Never or Almost Never,Never or Almost Never,Occasionally,Occasionally,Never or Almost Never,Never or Almost Never,Agree,Somewhat agree,Agree,Agree,Agree,Agree,Agree,Somewhat agree,Agree,Agree,Agree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat agree,Agree,Strongly disagree,Agree,Agree,Agree,Somewhat agree,Agree,Agree,Somewhat agree,Neither agree nor disagree,Dance,25 - 34,Male,Employed Full Time,"£20,001 - £40,000"
Never or Almost Never,Occasionally,Frequently,Never or Almost Never,Very Frequently,Never or Almost Never,Never or Almost Never,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,,25 - 34,Male,Employed Full Time,
Very Frequently,Very Frequently,Very Frequently,Never or Almost Never,Never or Almost Never,Never or Almost Never,Never or Almost Never,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly disagree,Disagree,Disagree,Strongly agree,Agree,Agree,Somewhat agree,Agree,Strongly agree,Agree,Neither agree nor disagree,Agree,Strongly disagree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,,25 - 34,Male,Employed Full Time,"£20,000 or Less"
Frequently,Never or Almost Never,Never or Almost Never,Never or Almost Never,Occasionally,Regularly,Never or Almost Never,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Somewhat agree,Strongly agree,Agree,Agree,Somewhat agree,Strongly disagree,Agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Disagree,Agree,Somewhat disagree,Agree,Disagree,Somewhat agree,Strongly disagree,Agree,Strongly disagree,Neither agree nor disagree,Agree,Somewhat agree,Somewhat agree,Disagree,Disagree,Less subscription fee would help to reach more people in order to hear the music at its original quality. ,25 - 34,Male,Employed Full Time,
Never or Almost Never,Never or Almost Never,Frequently,Never or Almost Never,Very Frequently,Never or Almost Never,Never or Almost Never,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Disagree,Disagree,Disagree,Agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Nothing much ,25 - 34,Male,Employed Full Time,"£20,001 - £40,000"
Never or Almost Never,Very Frequently,Regularly,Never or Almost Never,Never or Almost Never,Never or Almost Never,Never or Almost Never,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Disagree,Somewhat agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Somewhat agree,Agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,According to their playlist taste you prefer the music,25 - 34,Male,Student not employed,"£20,000 or Less"
Never or Almost Never,Regularly,Frequently,Never or Almost Never,Never or Almost Never,Never or Almost Never,Never or Almost Never,Strongly agree,Agree,Strongly agree,Somewhat agree,Agree,Agree,Agree,Somewhat agree,Agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Neither agree nor disagree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Somewhat disagree,Agree,Mostly using for friends parties so if the app gives us a option which can play the songs in all devices same time for better audio when we don’t have dedicated speakers and By  giving original videos or giving some colorfull video experiences.,25 - 34,Male,Employed Full Time,"£20,001 - £40,000"
